"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.030509600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2697/35082, ttl=51 (request in 3)"
"6","1.047474700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2698/35338, ttl=51 (request in 5)"
"8","2.058320900","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2699/35594, ttl=51 (request in 7)"
"10","3.068933500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2700/35850, ttl=51 (request in 9)"
"12","4.086397500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2701/36106, ttl=51 (request in 11)"
"14","5.105456800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2702/36362, ttl=51 (request in 13)"
"18","6.719872200","52.139.250.253","172.20.10.8","TLSv1.2","280","39 dBm","","","Application Data"
"20","6.806791800","52.139.250.253","172.20.10.8","TCP","118","39 dBm","","","[TCP Dup ACK 18#1] 443  >  50105 [ACK] Seq=175 Ack=44 Win=7934 Len=0 SLE=1 SRE=44"
"22","10.739924100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2704/36874, ttl=51 (request in 21)"
"24","11.729432500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2705/37130, ttl=51 (request in 23)"
"26","12.733816400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2706/37386, ttl=51 (request in 25)"
"28","13.754726900","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2707/37642, ttl=51 (request in 27)"
"30","14.774730400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2708/37898, ttl=51 (request in 29)"
"32","15.795079600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2709/38154, ttl=51 (request in 31)"
"34","16.805924700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2710/38410, ttl=51 (request in 33)"
"36","17.199750600","120.232.18.31","172.20.10.8","UDP","313","39 dBm","","","8000  >  54023 Len=219"
"38","17.673104300","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","39 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"40","17.820993500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2711/38666, ttl=51 (request in 39)"
"42","18.834831100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2712/38922, ttl=51 (request in 41)"
"44","19.830366500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2713/39178, ttl=51 (request in 43)"
"46","20.847955400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2714/39434, ttl=51 (request in 45)"
"48","21.869104200","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2715/39690, ttl=51 (request in 47)"
"50","22.880015600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2716/39946, ttl=51 (request in 49)"
"52","23.908043000","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2717/40202, ttl=51 (request in 51)"
"54","24.911458700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2718/40458, ttl=51 (request in 53)"
"56","25.923009100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2719/40714, ttl=51 (request in 55)"
"58","26.940538500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2720/40970, ttl=51 (request in 57)"
"60","27.963046700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2721/41226, ttl=51 (request in 59)"
"62","28.984100200","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2722/41482, ttl=51 (request in 61)"
"64","30.007133500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2723/41738, ttl=51 (request in 63)"
"66","31.014028800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2724/41994, ttl=51 (request in 65)"
"68","32.020568600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2725/42250, ttl=51 (request in 67)"
"70","33.037534800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2726/42506, ttl=51 (request in 69)"
"72","34.057086400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2727/42762, ttl=51 (request in 71)"
"74","35.064138600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2728/43018, ttl=51 (request in 73)"
"76","36.070630600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2729/43274, ttl=51 (request in 75)"
"78","37.081622700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2730/43530, ttl=51 (request in 77)"
"79","38.019228000","26:13:d4:15:c6:52","IntelCor_d5:17:4a","EAPOL","197","39 dBm","","","Key (Group Message 1 of 2)"
"82","38.096106600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2731/43786, ttl=51 (request in 81)"
"84","38.667456000","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","39 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"86","39.106319100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2732/44042, ttl=51 (request in 85)"
"88","40.121261700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2733/44298, ttl=51 (request in 87)"
"90","41.127795300","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2734/44554, ttl=51 (request in 89)"
"92","42.135319800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2735/44810, ttl=51 (request in 91)"
"94","43.149246300","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2736/45066, ttl=51 (request in 93)"
"96","44.166828600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2737/45322, ttl=51 (request in 95)"
"98","45.179889400","153.37.235.5","172.20.10.8","ICMP","126","40 dBm","","","Echo (ping) reply    id=0x0001, seq=2738/45578, ttl=51 (request in 97)"
"100","46.188875600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2739/45834, ttl=51 (request in 99)"
"102","47.203745700","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2740/46090, ttl=51 (request in 101)"
"104","48.213632600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2741/46346, ttl=51 (request in 103)"
"106","49.230124200","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2742/46602, ttl=51 (request in 105)"
"108","50.234940800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2743/46858, ttl=51 (request in 107)"
"111","51.257221900","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2744/47114, ttl=51 (request in 109)"
"112","51.434146300","52.139.250.253","172.20.10.8","TLSv1.2","280","39 dBm","","","Application Data"
"115","52.265290000","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2745/47370, ttl=51 (request in 114)"
"117","53.289176500","153.37.235.5","172.20.10.8","ICMP","126","40 dBm","","","Echo (ping) reply    id=0x0001, seq=2746/47626, ttl=51 (request in 116)"
"119","54.301397200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2747/47882, ttl=51 (request in 118)"
"121","55.315272500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2748/48138, ttl=51 (request in 120)"
"123","56.324691600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2749/48394, ttl=51 (request in 122)"
"125","57.349337800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2750/48650, ttl=51 (request in 124)"
"127","58.373359800","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2751/48906, ttl=51 (request in 126)"
"129","59.387432200","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2752/49162, ttl=51 (request in 128)"
"131","60.178142300","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","39 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"133","60.399268100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2753/49418, ttl=51 (request in 132)"
"135","61.427899500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2754/49674, ttl=51 (request in 134)"
"138","67.240213000","153.37.235.5","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2756/50186, ttl=51 (request in 137)"
