"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.048122900","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3196/31756, ttl=51 (request in 3)"
"6","1.047600700","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3197/32012, ttl=51 (request in 5)"
"8","2.089243300","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3198/32268, ttl=51 (request in 7)"
"10","3.088610200","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3199/32524, ttl=51 (request in 9)"
"12","4.107494800","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3200/32780, ttl=51 (request in 11)"
"14","5.127581200","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3201/33036, ttl=51 (request in 13)"
"16","6.131265000","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3202/33292, ttl=51 (request in 15)"
"18","7.147303700","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3203/33548, ttl=51 (request in 17)"
"20","7.839223800","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","30 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"22","8.167641100","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3204/33804, ttl=51 (request in 21)"
"24","9.187733100","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3205/34060, ttl=51 (request in 23)"
"26","10.214582600","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3206/34316, ttl=51 (request in 25)"
"28","11.227273900","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3207/34572, ttl=51 (request in 27)"
"30","12.244256100","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3208/34828, ttl=51 (request in 29)"
"32","13.242778500","153.37.235.5","172.20.10.8","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=3209/35084, ttl=51 (request in 31)"
