"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.028028700","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2914/25099, ttl=51 (request in 3)"
"6","1.049881100","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2915/25355, ttl=51 (request in 5)"
"8","2.101164700","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2916/25611, ttl=51 (request in 7)"
"10","3.077079500","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2917/25867, ttl=51 (request in 9)"
"12","4.098713600","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2918/26123, ttl=51 (request in 11)"
"14","5.100330400","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2919/26379, ttl=51 (request in 13)"
"16","6.119181900","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2920/26635, ttl=51 (request in 15)"
"18","7.116138100","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2921/26891, ttl=51 (request in 17)"
"20","8.137061000","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2922/27147, ttl=51 (request in 19)"
"22","9.137178100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2923/27403, ttl=51 (request in 21)"
"24","10.162022600","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2924/27659, ttl=51 (request in 23)"
"26","10.856573400","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","35 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"28","11.189805300","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2925/27915, ttl=51 (request in 27)"
"30","12.202189300","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2926/28171, ttl=51 (request in 29)"
"32","13.205706500","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2927/28427, ttl=51 (request in 31)"
"34","14.223036100","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2928/28683, ttl=51 (request in 33)"
"36","15.242148700","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2929/28939, ttl=51 (request in 35)"
"38","15.685742500","52.139.250.253","172.20.10.8","TLSv1.2","280","36 dBm","","","Application Data"
"41","16.244105600","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2930/29195, ttl=51 (request in 40)"
"43","17.263875800","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2931/29451, ttl=51 (request in 42)"
"45","18.290393600","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2932/29707, ttl=51 (request in 44)"
"47","19.284247100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2933/29963, ttl=51 (request in 46)"
"49","20.302221700","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2934/30219, ttl=51 (request in 48)"
"51","21.323066100","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2935/30475, ttl=51 (request in 50)"
"53","22.322769600","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2936/30731, ttl=51 (request in 52)"
"55","23.343220800","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2937/30987, ttl=51 (request in 54)"
"57","24.365381600","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2938/31243, ttl=51 (request in 56)"
"59","25.362389900","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2939/31499, ttl=51 (request in 58)"
"61","26.382161700","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2940/31755, ttl=51 (request in 60)"
"63","27.404122700","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2941/32011, ttl=51 (request in 62)"
"65","28.402465200","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2942/32267, ttl=51 (request in 64)"
"67","29.423290800","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2943/32523, ttl=51 (request in 66)"
"69","30.431806300","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2944/32779, ttl=51 (request in 68)"
"71","31.453508900","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2945/33035, ttl=51 (request in 70)"
"73","32.355580600","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","35 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"75","32.482227300","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2946/33291, ttl=51 (request in 74)"
"77","33.501822200","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2947/33547, ttl=51 (request in 76)"
"79","34.521370300","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2948/33803, ttl=51 (request in 78)"
"81","35.531721100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2949/34059, ttl=51 (request in 80)"
"83","36.537359500","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2950/34315, ttl=51 (request in 82)"
"85","37.541472400","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2951/34571, ttl=51 (request in 84)"
"87","38.561478800","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2952/34827, ttl=51 (request in 86)"
"89","39.570568000","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2953/35083, ttl=51 (request in 88)"
"91","40.589974400","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2954/35339, ttl=51 (request in 90)"
"93","41.610669200","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2955/35595, ttl=51 (request in 92)"
"95","42.609572400","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2956/35851, ttl=51 (request in 94)"
"97","43.631040600","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2957/36107, ttl=51 (request in 96)"
"99","44.642070600","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2958/36363, ttl=51 (request in 98)"
"101","45.642096800","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2959/36619, ttl=51 (request in 100)"
"103","46.690000800","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2960/36875, ttl=51 (request in 102)"
"105","47.683047400","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2961/37131, ttl=51 (request in 104)"
"107","48.704530200","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2962/37387, ttl=51 (request in 106)"
"109","49.725156600","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2963/37643, ttl=51 (request in 108)"
"111","50.742489000","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2964/37899, ttl=51 (request in 110)"
"113","51.761649700","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2965/38155, ttl=51 (request in 112)"
"115","52.781653700","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2966/38411, ttl=51 (request in 114)"
"117","53.345647300","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","35 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"119","53.784662100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2967/38667, ttl=51 (request in 118)"
"121","54.819397300","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2968/38923, ttl=51 (request in 120)"
"123","55.823442100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2969/39179, ttl=51 (request in 122)"
"125","56.831596900","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2970/39435, ttl=51 (request in 124)"
