"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"95","33.866285800","49.4.47.102","172.20.10.8","TCP","1506","38 dBm","","","443  >  50169 [ACK] Seq=1401 Ack=518 Win=30720 Len=1400 [TCP segment of a reassembled PDU]"
"96","33.866285800","49.4.47.102","172.20.10.8","TLSv1.2","648","38 dBm","","","Certificate, Server Key Exchange, Server Hello Done"
"99","33.935587100","49.4.47.102","172.20.10.8","TLSv1.2","157","38 dBm","","","Change Cipher Spec, Encrypted Handshake Message"
"101","33.991863500","49.4.47.102","172.20.10.8","TLSv1.2","327","38 dBm","","","Application Data"
"104","34.037991000","49.4.47.102","172.20.10.8","TCP","118","38 dBm","","","[TCP Dup ACK 101#1] 443  >  50169 [ACK] Seq=3615 Ack=834 Win=31744 Len=0 SLE=865 SRE=866"
"105","34.041547000","49.4.47.102","172.20.10.8","TCP","106","38 dBm","","","443  >  50169 [ACK] Seq=3615 Ack=866 Win=31744 Len=0"
"106","34.041547000","49.4.47.102","172.20.10.8","TCP","106","38 dBm","","","443  >  50169 [FIN, ACK] Seq=3615 Ack=866 Win=31744 Len=0"
"109","34.554332100","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2825/2315, ttl=51 (request in 108)"
"111","35.567055100","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2826/2571, ttl=51 (request in 110)"
"113","36.577233200","153.37.235.5","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2827/2827, ttl=51 (request in 112)"
"115","37.594539300","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2828/3083, ttl=51 (request in 114)"
"117","38.606149900","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2829/3339, ttl=51 (request in 116)"
"119","39.615099400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2830/3595, ttl=51 (request in 118)"
"121","40.636816200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2831/3851, ttl=51 (request in 120)"
"123","41.643141500","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2832/4107, ttl=51 (request in 122)"
"125","42.652743200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2833/4363, ttl=51 (request in 124)"
"127","43.675271000","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2834/4619, ttl=51 (request in 126)"
"129","44.681320900","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2835/4875, ttl=51 (request in 128)"
"131","45.695955100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2836/5131, ttl=51 (request in 130)"
"133","46.302358100","52.139.250.253","172.20.10.8","TLSv1.2","277","39 dBm","","","Application Data"
"136","46.723933500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2837/5387, ttl=51 (request in 135)"
"138","47.716434900","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2838/5643, ttl=51 (request in 137)"
"140","48.741855500","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2839/5899, ttl=51 (request in 139)"
"142","49.755523200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2840/6155, ttl=51 (request in 141)"
"144","50.766748400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2841/6411, ttl=51 (request in 143)"
"146","51.775295500","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2842/6667, ttl=51 (request in 145)"
"148","52.796215100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2843/6923, ttl=51 (request in 147)"
"150","53.805878700","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2844/7179, ttl=51 (request in 149)"
"152","54.825353600","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2845/7435, ttl=51 (request in 151)"
"154","55.301365700","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","38 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"156","55.621149900","52.139.250.253","172.20.10.8","TLSv1.2","280","38 dBm","","","Application Data"
"159","55.840404400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2846/7691, ttl=51 (request in 158)"
"161","56.875367300","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2847/7947, ttl=51 (request in 160)"
"163","57.881489200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2848/8203, ttl=51 (request in 162)"
"165","58.895184100","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2849/8459, ttl=51 (request in 164)"
"167","59.917309400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2850/8715, ttl=51 (request in 166)"
"169","60.939225100","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2851/8971, ttl=51 (request in 168)"
"171","61.950263900","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2852/9227, ttl=51 (request in 170)"
"173","62.966374000","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2853/9483, ttl=51 (request in 172)"
"175","63.994431400","153.37.235.5","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2854/9739, ttl=51 (request in 174)"
"177","65.027215100","153.37.235.5","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2855/9995, ttl=51 (request in 176)"
