"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.036401000","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3476/37901, ttl=51 (request in 3)"
"6","0.921819700","52.139.250.253","172.20.10.8","TLSv1.2","280","29 dBm","","","Application Data"
"9","1.064030600","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3477/38157, ttl=51 (request in 8)"
"11","2.056542400","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3478/38413, ttl=51 (request in 10)"
"13","3.075346000","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3479/38669, ttl=51 (request in 12)"
"15","4.095828200","153.37.235.5","172.20.10.8","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=3480/38925, ttl=51 (request in 14)"
"17","5.096240300","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3481/39181, ttl=51 (request in 16)"
"19","6.116643700","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3482/39437, ttl=51 (request in 18)"
"21","7.116065700","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3483/39693, ttl=51 (request in 20)"
"23","8.144942000","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3484/39949, ttl=51 (request in 22)"
"25","9.137073800","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3485/40205, ttl=51 (request in 24)"
"27","10.166272600","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3486/40461, ttl=51 (request in 26)"
"29","11.165922200","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3487/40717, ttl=51 (request in 28)"
"31","12.186472500","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3488/40973, ttl=51 (request in 30)"
"33","13.185586300","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3489/41229, ttl=51 (request in 32)"
"35","14.205881400","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3490/41485, ttl=51 (request in 34)"
"37","15.225895100","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3491/41741, ttl=51 (request in 36)"
"39","16.225151100","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3492/41997, ttl=51 (request in 38)"
"41","17.245026800","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3493/42253, ttl=51 (request in 40)"
"43","18.265564900","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3494/42509, ttl=51 (request in 42)"
"45","19.287659100","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3495/42765, ttl=51 (request in 44)"
"47","20.306578000","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3496/43021, ttl=51 (request in 46)"
"49","21.326202900","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3497/43277, ttl=51 (request in 48)"
"51","22.325700500","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3498/43533, ttl=51 (request in 50)"
"53","23.345964300","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3499/43789, ttl=51 (request in 52)"
"55","24.365394300","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3500/44045, ttl=51 (request in 54)"
"57","25.386058900","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3501/44301, ttl=51 (request in 56)"
"59","26.386002300","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3502/44557, ttl=51 (request in 58)"
"61","26.977611500","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","33 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"63","27.405214000","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3503/44813, ttl=51 (request in 62)"
"65","28.428720800","153.37.235.5","172.20.10.8","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=3504/45069, ttl=51 (request in 64)"
"67","29.446280800","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3505/45325, ttl=51 (request in 66)"
"69","30.465806100","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3506/45581, ttl=51 (request in 68)"
"71","31.466337800","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3507/45837, ttl=51 (request in 70)"
"73","32.485298700","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3508/46093, ttl=51 (request in 72)"
"75","33.507864900","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3509/46349, ttl=51 (request in 74)"
"77","34.505949900","153.37.235.5","172.20.10.8","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3510/46605, ttl=51 (request in 76)"
