"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.032906100","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3342/3597, ttl=51 (request in 3)"
"6","1.037379900","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3343/3853, ttl=51 (request in 5)"
"8","2.052323300","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3344/4109, ttl=51 (request in 7)"
"10","3.061572700","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3345/4365, ttl=51 (request in 9)"
"12","4.075603900","153.37.235.5","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3346/4621, ttl=51 (request in 11)"
"14","5.080561200","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3347/4877, ttl=51 (request in 13)"
"16","6.094344200","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3348/5133, ttl=51 (request in 15)"
"18","7.105677900","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3349/5389, ttl=51 (request in 17)"
"20","8.123283600","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3350/5645, ttl=51 (request in 19)"
"22","9.188053500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3351/5901, ttl=51 (request in 21)"
"24","10.160747300","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3352/6157, ttl=51 (request in 23)"
"27","11.191363500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3353/6413, ttl=51 (request in 26)"
"28","11.191363500","52.139.250.253","172.20.10.8","TLSv1.2","280","29 dBm","","","Application Data"
"31","12.206002700","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3354/6669, ttl=51 (request in 30)"
"33","13.248033900","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3355/6925, ttl=51 (request in 32)"
"35","14.234379400","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3356/7181, ttl=51 (request in 34)"
"37","15.234225200","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3357/7437, ttl=51 (request in 36)"
"39","16.246798000","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3358/7693, ttl=51 (request in 38)"
"41","17.263129800","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3359/7949, ttl=51 (request in 40)"
"43","18.288094900","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3360/8205, ttl=51 (request in 42)"
"45","19.280308700","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3361/8461, ttl=51 (request in 44)"
"47","20.280547000","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3362/8717, ttl=51 (request in 46)"
"49","21.284835800","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3363/8973, ttl=51 (request in 48)"
"51","21.802100000","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","29 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"53","22.305261300","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3364/9229, ttl=51 (request in 52)"
"55","23.318148500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3365/9485, ttl=51 (request in 54)"
"57","24.334217800","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3366/9741, ttl=51 (request in 56)"
"59","25.344149500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3367/9997, ttl=51 (request in 58)"
"61","26.359155100","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3368/10253, ttl=51 (request in 60)"
"63","27.375872100","153.37.235.5","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3369/10509, ttl=51 (request in 62)"
"65","28.384927600","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3370/10765, ttl=51 (request in 64)"
"67","29.408990100","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3371/11021, ttl=51 (request in 66)"
"69","30.449457100","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3372/11277, ttl=51 (request in 68)"
"71","31.435182500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3373/11533, ttl=51 (request in 70)"
"73","32.449940000","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3374/11789, ttl=51 (request in 72)"
"75","33.470503600","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3375/12045, ttl=51 (request in 74)"
"77","34.486025800","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3376/12301, ttl=51 (request in 76)"
"79","35.498479200","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3377/12557, ttl=51 (request in 78)"
"81","36.514570300","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3378/12813, ttl=51 (request in 80)"
"83","37.544678700","153.37.235.5","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3379/13069, ttl=51 (request in 82)"
"85","38.546648900","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3380/13325, ttl=51 (request in 84)"
"87","39.564430100","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3381/13581, ttl=51 (request in 86)"
"89","40.575600800","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3382/13837, ttl=51 (request in 88)"
"91","41.589694500","153.37.235.5","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3383/14093, ttl=51 (request in 90)"
"93","42.598146300","153.37.235.5","172.20.10.8","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3384/14349, ttl=51 (request in 92)"
