"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.037794700","153.37.235.5","172.20.10.8","ICMP","126","43 dBm","","","Echo (ping) reply    id=0x0001, seq=2460/39945, ttl=51 (request in 3)"
"6","1.036727900","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2461/40201, ttl=51 (request in 5)"
"8","2.049818000","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2462/40457, ttl=51 (request in 7)"
"10","3.054068000","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2463/40713, ttl=51 (request in 9)"
"12","3.663897200","52.139.250.253","172.20.10.8","TLSv1.2","280","42 dBm","","","Application Data"
"15","4.068763300","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2464/40969, ttl=51 (request in 14)"
"17","5.088715800","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2465/41225, ttl=51 (request in 16)"
"19","6.101835700","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2466/41481, ttl=51 (request in 18)"
"21","7.122842700","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2467/41737, ttl=51 (request in 20)"
"23","8.131871000","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2468/41993, ttl=51 (request in 22)"
"25","9.146208000","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2469/42249, ttl=51 (request in 24)"
"27","10.169309500","153.37.235.5","172.20.10.8","ICMP","126","43 dBm","","","Echo (ping) reply    id=0x0001, seq=2470/42505, ttl=51 (request in 26)"
"29","11.180829500","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2471/42761, ttl=51 (request in 28)"
"31","11.993116300","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","42 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"33","12.203926500","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2472/43017, ttl=51 (request in 32)"
"35","13.199878200","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2473/43273, ttl=51 (request in 34)"
"37","14.220866900","153.37.235.5","172.20.10.8","ICMP","126","41 dBm","","","Echo (ping) reply    id=0x0001, seq=2474/43529, ttl=51 (request in 36)"
"39","15.250866400","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2475/43785, ttl=51 (request in 38)"
"41","16.255219200","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2476/44041, ttl=51 (request in 40)"
"43","17.271983200","153.37.235.5","172.20.10.8","ICMP","126","41 dBm","","","Echo (ping) reply    id=0x0001, seq=2477/44297, ttl=51 (request in 42)"
"45","18.291571900","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2478/44553, ttl=51 (request in 44)"
"47","19.308440900","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2479/44809, ttl=51 (request in 46)"
"49","20.329472500","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2480/45065, ttl=51 (request in 48)"
"51","21.349094300","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2481/45321, ttl=51 (request in 50)"
"53","22.366546400","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2482/45577, ttl=51 (request in 52)"
"55","23.368525400","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2483/45833, ttl=51 (request in 54)"
"57","24.385613600","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2484/46089, ttl=51 (request in 56)"
"59","25.410475900","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2485/46345, ttl=51 (request in 58)"
"61","26.417201300","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2486/46601, ttl=51 (request in 60)"
"63","27.427052600","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2487/46857, ttl=51 (request in 62)"
"65","28.449328700","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2488/47113, ttl=51 (request in 64)"
"67","29.470247200","153.37.235.5","172.20.10.8","ICMP","126","42 dBm","","","Echo (ping) reply    id=0x0001, seq=2489/47369, ttl=51 (request in 66)"
