"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.027104800","153.37.235.5","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=2365/15625, ttl=51 (request in 3)"
"6","0.582951000","52.139.250.253","172.20.10.8","TLSv1.2","280","53 dBm","","","Application Data"
"9","1.038619900","153.37.235.5","172.20.10.8","ICMP","126","53 dBm","","","Echo (ping) reply    id=0x0001, seq=2366/15881, ttl=51 (request in 8)"
"11","2.049708900","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2367/16137, ttl=51 (request in 10)"
"13","3.076558900","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2368/16393, ttl=51 (request in 12)"
"15","4.097561500","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2369/16649, ttl=51 (request in 14)"
"17","5.104372800","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2370/16905, ttl=51 (request in 16)"
"19","6.119577900","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2371/17161, ttl=51 (request in 18)"
"21","7.145493900","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2372/17417, ttl=51 (request in 20)"
"23","8.146465700","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2373/17673, ttl=51 (request in 22)"
"25","9.169720800","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2374/17929, ttl=51 (request in 24)"
"27","10.176843300","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2375/18185, ttl=51 (request in 26)"
"29","11.196352400","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2376/18441, ttl=51 (request in 28)"
"32","16.941509300","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2378/18953, ttl=51 (request in 31)"
"34","17.924364100","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2379/19209, ttl=51 (request in 33)"
"36","18.934748200","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2380/19465, ttl=51 (request in 35)"
"38","19.952404300","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2381/19721, ttl=51 (request in 37)"
"40","20.957971400","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2382/19977, ttl=51 (request in 39)"
"42","21.871694000","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","52 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"44","21.975446200","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2383/20233, ttl=51 (request in 43)"
"46","22.992841800","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2384/20489, ttl=51 (request in 45)"
"48","24.017690500","153.37.235.5","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=2385/20745, ttl=51 (request in 47)"
"49","24.240018300","49.4.36.99","172.20.10.8","TCP","106","52 dBm","","","5223  >  50155 [FIN, ACK] Seq=1 Ack=1 Win=29200 Len=0"
"53","24.282789800","172.20.10.1","172.20.10.8","DNS","168","52 dBm","","","Standard query response 0x341f A pushtrs.push.hicloud.com A 49.4.39.161 A 49.4.20.145"
"54","24.288987000","49.4.36.99","172.20.10.8","TCP","106","52 dBm","","","5223  >  50155 [ACK] Seq=2 Ack=2 Win=29200 Len=0"
"56","24.293755800","49.4.36.99","172.20.10.8","TCP","106","52 dBm","","","[TCP Dup ACK 54#1] 5223  >  50155 [ACK] Seq=2 Ack=2 Win=29200 Len=0"
"57","24.336697200","49.4.39.161","172.20.10.8","TCP","118","52 dBm","","","443  >  50161 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=512"
"60","24.404271500","49.4.39.161","172.20.10.8","TCP","106","53 dBm","","","443  >  50161 [ACK] Seq=1 Ack=518 Win=30720 Len=0"
"61","24.408037600","49.4.39.161","172.20.10.8","TLSv1.2","1506","53 dBm","","","Server Hello"
"62","24.408920500","49.4.39.161","172.20.10.8","TCP","1506","53 dBm","","","443  >  50161 [ACK] Seq=1401 Ack=518 Win=30720 Len=1400 [TCP segment of a reassembled PDU]"
"64","24.410281800","49.4.39.161","172.20.10.8","TLSv1.2","662","53 dBm","","","Certificate, Server Key Exchange, Server Hello Done"
"66","24.462413900","49.4.39.161","172.20.10.8","TLSv1.2","157","53 dBm","","","Change Cipher Spec, Encrypted Handshake Message"
"68","24.519134500","49.4.39.161","172.20.10.8","TCP","1506","52 dBm","","","443  >  50161 [ACK] Seq=3408 Ack=1036 Win=31744 Len=1400 [TCP segment of a reassembled PDU]"
"69","24.521628000","49.4.39.161","172.20.10.8","TCP","1506","52 dBm","","","443  >  50161 [ACK] Seq=4808 Ack=1036 Win=31744 Len=1400 [TCP segment of a reassembled PDU]"
"70","24.521628000","49.4.39.161","172.20.10.8","TLSv1.2","1143","52 dBm","","","Application Data, Application Data"
"75","24.564379800","49.4.39.161","172.20.10.8","TCP","106","52 dBm","","","443  >  50161 [FIN, ACK] Seq=7245 Ack=1067 Win=31744 Len=0"
"77","24.568191700","49.4.39.161","172.20.10.8","TCP","106","52 dBm","","","[TCP Dup ACK 75#1] 443  >  50161 [ACK] Seq=7246 Ack=1067 Win=31744 Len=0"
"78","24.568191700","49.4.39.161","172.20.10.8","TCP","106","52 dBm","","","443  >  50161 [ACK] Seq=7246 Ack=1068 Win=31744 Len=0"
"79","24.576345700","49.4.36.99","172.20.10.8","TCP","110","53 dBm","","","5223  >  50162 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"82","24.638457400","49.4.36.99","172.20.10.8","TCP","106","53 dBm","","","5223  >  50162 [ACK] Seq=1 Ack=133 Win=29200 Len=0"
"83","24.638457400","49.4.36.99","172.20.10.8","TCP","158","53 dBm","","","5223  >  50162 [PSH, ACK] Seq=1 Ack=133 Win=29200 Len=52"
"85","24.693315100","49.4.36.99","172.20.10.8","TCP","141","52 dBm","","","5223  >  50162 [PSH, ACK] Seq=53 Ack=216 Win=29200 Len=35"
