"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"125","27.427183100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3949/27919, ttl=53 (request in 124)"
"127","28.418062100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3950/28175, ttl=53 (request in 126)"
"129","29.432267700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3951/28431, ttl=53 (request in 128)"
"131","30.467410000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3952/28687, ttl=53 (request in 130)"
"133","30.726734300","52.139.250.253","172.20.10.6","TLSv1.2","280","28 dBm","","","Application Data"
"136","31.507406900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3953/28943, ttl=53 (request in 135)"
"138","32.491688500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3954/29199, ttl=53 (request in 137)"
"141","32.608993700","204.79.197.203","172.20.10.6","TCP","118","27 dBm","","","443  >  64722 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"142","32.654986400","99.84.138.118","172.20.10.6","TCP","118","28 dBm","","","443  >  62027 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2"
"145","32.732951400","40.81.31.55","172.20.10.6","TCP","118","28 dBm","","","443  >  65206 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"146","32.737540700","13.107.21.200","172.20.10.6","TCP","118","28 dBm","","","443  >  64991 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"149","33.512218000","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3955/29455, ttl=53 (request in 148)"
"150","33.665510400","168.62.200.169","172.20.10.6","TCP","118","27 dBm","","","443  >  56199 [ACK] Seq=1 Ack=2 Win=2050 Len=0 SLE=1 SRE=2"
"152","34.547311800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3956/29711, ttl=53 (request in 151)"
"156","35.554292200","202.89.233.96","172.20.10.6","TCP","118","27 dBm","","","443  >  54656 [ACK] Seq=1 Ack=2 Win=2047 Len=0 SLE=1 SRE=2"
"157","35.554292200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3957/29967, ttl=53 (request in 155)"
"160","36.570949800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3958/30223, ttl=53 (request in 159)"
"163","37.587353900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3959/30479, ttl=53 (request in 162)"
"166","38.608315300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3960/30735, ttl=53 (request in 165)"
"167","39.199139800","202.89.233.100","172.20.10.6","TCP","106","28 dBm","","","443  >  54295 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"169","39.616891500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3961/30991, ttl=53 (request in 168)"
"171","40.638764100","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3962/31247, ttl=53 (request in 170)"
"172","40.895118700","13.107.42.23","172.20.10.6","TCP","106","28 dBm","","","443  >  57298 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"174","41.648288600","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3963/31503, ttl=53 (request in 173)"
"176","42.662366700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3964/31759, ttl=53 (request in 175)"
"178","43.058302200","23.32.20.175","172.20.10.6","TCP","106","28 dBm","","","443  >  53052 [ACK] Seq=1 Ack=2 Win=501 Len=0"
"179","43.168165600","20.184.57.167","172.20.10.6","TCP","106","28 dBm","","","443  >  54237 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"180","43.355170100","204.79.197.219","172.20.10.6","TCP","106","28 dBm","","","443  >  50975 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"182","43.673571200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3965/32015, ttl=53 (request in 181)"
"184","44.707427900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3966/32271, ttl=53 (request in 183)"
"186","45.713339500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3967/32527, ttl=53 (request in 185)"
"188","46.717362800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3968/32783, ttl=53 (request in 187)"
"190","47.727856100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3969/33039, ttl=53 (request in 189)"
"192","48.742786000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3970/33295, ttl=53 (request in 191)"
"194","49.752471500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3971/33551, ttl=53 (request in 193)"
"196","50.788505500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3972/33807, ttl=53 (request in 195)"
"198","51.792466600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3973/34063, ttl=53 (request in 197)"
"200","52.827010800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3974/34319, ttl=53 (request in 199)"
"202","53.013356400","204.79.197.219","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  64624 [ACK] Seq=6293 Ack=1357 Win=523520 Len=0 SLE=1356 SRE=1357"
"204","53.837539000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3975/34575, ttl=53 (request in 203)"
"206","54.867534500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3976/34831, ttl=53 (request in 205)"
"208","55.474710600","14.18.173.13","172.20.10.6","UDP","132","28 dBm","","","8000  >  1863 Len=38"
"210","55.888415000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3977/35087, ttl=53 (request in 209)"
"212","56.902572800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3978/35343, ttl=53 (request in 211)"
"214","57.913216400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3979/35599, ttl=53 (request in 213)"
"216","58.928592800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3980/35855, ttl=53 (request in 215)"
"217","59.280459900","20.44.229.112","172.20.10.6","TCP","106","28 dBm","","","443  >  54296 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"219","59.937135500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3981/36111, ttl=53 (request in 218)"
"221","60.947589700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3982/36367, ttl=53 (request in 220)"
"223","61.968099200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3983/36623, ttl=53 (request in 222)"
"225","62.982677100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3984/36879, ttl=53 (request in 224)"
"227","63.987600900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3985/37135, ttl=53 (request in 226)"
"229","65.008558100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3986/37391, ttl=53 (request in 228)"
"231","65.219424300","204.79.197.219","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  59143 [ACK] Seq=1 Ack=2 Win=2046 Len=0 SLE=1 SRE=2"
"233","66.018637200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3987/37647, ttl=53 (request in 232)"
"235","66.872654500","168.62.200.169","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  65329 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"237","67.032408800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3988/37903, ttl=53 (request in 236)"
"239","68.067655500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3989/38159, ttl=53 (request in 238)"
"241","69.062716100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3990/38415, ttl=53 (request in 240)"
"243","69.937154000","122.96.96.159","172.20.10.6","TCP","106","28 dBm","","","80  >  59141 [ACK] Seq=1 Ack=77 Win=16384 Len=0"
"245","70.082468300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3991/38671, ttl=53 (request in 244)"
"247","71.088646900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3992/38927, ttl=53 (request in 246)"
"249","72.097686000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3993/39183, ttl=53 (request in 248)"
"251","73.112704500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3994/39439, ttl=53 (request in 250)"
"253","74.155720000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3995/39695, ttl=53 (request in 252)"
