"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"363","153.259435900","52.139.168.125","172.20.10.6","TCP","106","34 dBm","","","443  >  50082 [FIN, ACK] Seq=4026 Ack=1287 Win=523520 Len=0"
"366","153.401328700","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2503/50953, ttl=51 (request in 365)"
"368","154.377547100","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2504/51209, ttl=51 (request in 367)"
"370","155.418366800","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2505/51465, ttl=51 (request in 369)"
"372","156.428968000","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2506/51721, ttl=51 (request in 371)"
"374","157.534695600","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2507/51977, ttl=51 (request in 373)"
"376","158.446696600","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2508/52233, ttl=51 (request in 375)"
"378","159.444620600","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2509/52489, ttl=51 (request in 377)"
"380","160.473789600","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2510/52745, ttl=51 (request in 379)"
"382","161.475598800","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2511/53001, ttl=51 (request in 381)"
"384","162.506863700","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2512/53257, ttl=51 (request in 383)"
"387","162.891161600","172.20.10.1","172.20.10.6","DNS","259","32 dBm","","","Standard query response 0xd973 A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME skypedataprdcolcus03.cloudapp.net A 52.114.128.10"
"389","163.142603500","52.114.128.10","172.20.10.6","TCP","118","33 dBm","","","443  >  50083 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
"392","163.414780300","52.114.128.10","172.20.10.6","TCP","1506","34 dBm","","","443  >  50083 [ACK] Seq=1 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"393","163.414780300","52.114.128.10","172.20.10.6","TCP","1506","34 dBm","","","443  >  50083 [ACK] Seq=1401 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"395","163.416779000","52.114.128.10","172.20.10.6","TLSv1.2","1372","33 dBm","","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"398","163.500045300","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2513/53513, ttl=51 (request in 397)"
