"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"322","132.900271400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2695/34570, ttl=53 (request in 321)"
"324","133.450835300","20.198.162.76","172.20.10.6","TLSv1.2","280","27 dBm","","","Application Data"
"326","133.814182500","40.100.54.226","172.20.10.6","TLSv1.2","146","27 dBm","","","Application Data"
"329","133.903504900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2696/34826, ttl=53 (request in 328)"
"331","134.919706200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2697/35082, ttl=53 (request in 330)"
"333","135.945917500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2698/35338, ttl=53 (request in 332)"
"335","136.964705900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2699/35594, ttl=53 (request in 334)"
"337","137.980903300","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2700/35850, ttl=53 (request in 336)"
"339","139.005862500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2701/36106, ttl=53 (request in 338)"
"341","140.033897200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2702/36362, ttl=53 (request in 340)"
"343","141.044777100","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2703/36618, ttl=53 (request in 342)"
"345","142.044886500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2704/36874, ttl=53 (request in 344)"
"347","143.060413400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2705/37130, ttl=53 (request in 346)"
