"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"85","37.603758700","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3115/11020, ttl=54 (request in 84)"
"87","38.621313200","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3116/11276, ttl=54 (request in 86)"
"89","39.630297900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3117/11532, ttl=54 (request in 88)"
"91","40.639855900","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3118/11788, ttl=54 (request in 90)"
"93","41.657211600","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3119/12044, ttl=54 (request in 92)"
"95","42.674115000","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3120/12300, ttl=54 (request in 94)"
"96","43.088869000","40.100.54.226","172.20.10.6","TLSv1.2","146","20 dBm","","","Application Data"
"99","43.693662300","112.80.248.76","172.20.10.6","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=3121/12556, ttl=54 (request in 98)"
"101","44.712777900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3122/12812, ttl=54 (request in 100)"
"103","45.735805600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3123/13068, ttl=54 (request in 102)"
"105","46.755629200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3124/13324, ttl=54 (request in 104)"
"107","47.760964300","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3125/13580, ttl=54 (request in 106)"
"109","48.780810900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3126/13836, ttl=54 (request in 108)"
"111","49.786318900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3127/14092, ttl=54 (request in 110)"
"113","50.795331200","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3128/14348, ttl=54 (request in 112)"
"115","51.312477300","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","20 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"117","51.815215700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3129/14604, ttl=54 (request in 116)"
"119","52.821872600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3130/14860, ttl=54 (request in 118)"
"121","53.845800000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3131/15116, ttl=54 (request in 120)"
"123","54.889105300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3132/15372, ttl=54 (request in 122)"
"126","54.953300200","172.20.10.1","172.20.10.6","DNS","259","20 dBm","","","Standard query response 0x64f4 A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME skypedataprdcoluks01.cloudapp.net A 52.114.88.20"
