"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"238","61.541992200","202.89.233.101","172.20.10.6","TCP","1506","38 dBm","","","443  >  50067 [ACK] Seq=48652 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"239","61.541992200","202.89.233.101","172.20.10.6","TCP","1506","38 dBm","","","443  >  50067 [ACK] Seq=50052 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"240","61.541992200","202.89.233.101","172.20.10.6","TLSv1.2","1506","38 dBm","","","Application Data, Application Data"
"241","61.541992200","202.89.233.101","172.20.10.6","TCP","1506","38 dBm","","","443  >  50067 [ACK] Seq=52852 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"242","61.541992200","202.89.233.101","172.20.10.6","TCP","1506","38 dBm","","","443  >  50067 [ACK] Seq=54252 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"244","61.543456200","202.89.233.101","172.20.10.6","TLSv1.2","1506","37 dBm","","","Application Data, Application Data"
"245","61.543456200","202.89.233.101","172.20.10.6","TCP","1506","37 dBm","","","443  >  50067 [ACK] Seq=57052 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"246","61.543456200","202.89.233.101","172.20.10.6","TCP","1506","37 dBm","","","443  >  50067 [ACK] Seq=58452 Ack=1320 Win=523520 Len=1400 [TCP segment of a reassembled PDU]"
"247","61.543456200","202.89.233.101","172.20.10.6","TLSv1.2","1298","37 dBm","","","Application Data, Application Data, Application Data"
"250","61.873996500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2105/14600, ttl=51 (request in 249)"
"252","62.897553400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2106/14856, ttl=51 (request in 251)"
"254","63.892249300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2107/15112, ttl=51 (request in 253)"
"256","64.908365200","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2108/15368, ttl=51 (request in 255)"
"258","65.929327300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2109/15624, ttl=51 (request in 257)"
"260","66.932308900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2110/15880, ttl=51 (request in 259)"
"262","67.946257400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2111/16136, ttl=51 (request in 261)"
"264","68.960524900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2112/16392, ttl=51 (request in 263)"
"266","69.980114900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2113/16648, ttl=51 (request in 265)"
"268","70.987427300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2114/16904, ttl=51 (request in 267)"
"270","72.002557300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2115/17160, ttl=51 (request in 269)"
"272","73.012465300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2116/17416, ttl=51 (request in 271)"
"274","74.007334600","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2117/17672, ttl=51 (request in 273)"
"276","75.027684200","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2118/17928, ttl=51 (request in 275)"
"278","76.055976200","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2119/18184, ttl=51 (request in 277)"
"280","77.078371000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2120/18440, ttl=51 (request in 279)"
"282","78.073994000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2121/18696, ttl=51 (request in 281)"
"284","79.094170100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2122/18952, ttl=51 (request in 283)"
"286","80.107401300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2123/19208, ttl=51 (request in 285)"
"288","81.116281500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2124/19464, ttl=51 (request in 287)"
