"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.041056800","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=295/9985, ttl=51 (request in 3)"
"6","1.050338500","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=296/10241, ttl=51 (request in 5)"
"8","2.062432100","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=297/10497, ttl=51 (request in 7)"
"10","3.079577900","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=298/10753, ttl=51 (request in 9)"
"11","3.459607800","117.18.232.200","172.20.10.8","TLSv1.2","170","49 dBm","","","Application Data"
"12","3.459607800","117.18.232.200","172.20.10.8","TLSv1.2","137","49 dBm","","","Encrypted Alert"
"13","3.459607800","117.18.232.200","172.20.10.8","TCP","106","49 dBm","","","443  >  49821 [FIN, ACK] Seq=96 Ack=1 Win=133 Len=0"
"16","4.096564100","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=299/11009, ttl=51 (request in 15)"
"18","5.097678600","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=300/11265, ttl=51 (request in 17)"
"20","6.119315900","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=301/11521, ttl=51 (request in 19)"
"22","7.162942500","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=302/11777, ttl=51 (request in 21)"
"24","8.143899100","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=303/12033, ttl=51 (request in 23)"
"26","9.176936300","153.37.235.4","172.20.10.8","ICMP","126","47 dBm","","","Echo (ping) reply    id=0x0001, seq=304/12289, ttl=51 (request in 25)"
"28","10.163386900","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=305/12545, ttl=51 (request in 27)"
"30","11.181213500","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=306/12801, ttl=51 (request in 29)"
"32","12.205501800","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=307/13057, ttl=51 (request in 31)"
"34","13.246439300","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=308/13313, ttl=51 (request in 33)"
"36","14.236328800","153.37.235.4","172.20.10.8","ICMP","126","48 dBm","","","Echo (ping) reply    id=0x0001, seq=309/13569, ttl=51 (request in 35)"
"38","15.254689600","153.37.235.4","172.20.10.8","ICMP","126","56 dBm","","","Echo (ping) reply    id=0x0001, seq=310/13825, ttl=51 (request in 37)"
"40","16.253606400","153.37.235.4","172.20.10.8","ICMP","126","62 dBm","","","Echo (ping) reply    id=0x0001, seq=311/14081, ttl=51 (request in 39)"
"42","17.265719300","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=312/14337, ttl=51 (request in 41)"
"44","17.796197400","40.119.211.203","172.20.10.8","TLSv1.2","280","51 dBm","","","Application Data"
"47","18.302869200","153.37.235.4","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=313/14593, ttl=51 (request in 46)"
"49","19.316387900","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=314/14849, ttl=51 (request in 48)"
"51","19.814803700","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","50 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"53","20.304220500","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=315/15105, ttl=51 (request in 52)"
"55","21.335323900","153.37.235.4","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=316/15361, ttl=51 (request in 54)"
"57","22.333319100","153.37.235.4","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=317/15617, ttl=51 (request in 56)"
"59","23.358135700","153.37.235.4","172.20.10.8","ICMP","126","47 dBm","","","Echo (ping) reply    id=0x0001, seq=318/15873, ttl=51 (request in 58)"
"61","24.376181500","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=319/16129, ttl=51 (request in 60)"
"63","25.380326000","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=320/16385, ttl=51 (request in 62)"
"65","26.397232100","153.37.235.4","172.20.10.8","ICMP","126","52 dBm","","","Echo (ping) reply    id=0x0001, seq=321/16641, ttl=51 (request in 64)"
"67","27.409445900","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=322/16897, ttl=51 (request in 66)"
"69","28.438638100","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=323/17153, ttl=51 (request in 68)"
"71","29.439355300","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=324/17409, ttl=51 (request in 70)"
"73","30.459502400","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=325/17665, ttl=51 (request in 72)"
"75","31.479134900","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=326/17921, ttl=51 (request in 74)"
"77","32.491172300","153.37.235.4","172.20.10.8","ICMP","126","50 dBm","","","Echo (ping) reply    id=0x0001, seq=327/18177, ttl=51 (request in 76)"
"79","33.490688000","153.37.235.4","172.20.10.8","ICMP","126","50 dBm","","","Echo (ping) reply    id=0x0001, seq=328/18433, ttl=51 (request in 78)"
"81","34.519835800","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=329/18689, ttl=51 (request in 80)"
"83","35.530551500","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=330/18945, ttl=51 (request in 82)"
"85","36.567065300","153.37.235.4","172.20.10.8","ICMP","126","50 dBm","","","Echo (ping) reply    id=0x0001, seq=331/19201, ttl=51 (request in 84)"
"87","37.550522200","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=332/19457, ttl=51 (request in 86)"
"89","38.569976700","153.37.235.4","172.20.10.8","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=333/19713, ttl=51 (request in 88)"
"91","39.590469800","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=334/19969, ttl=51 (request in 90)"
"93","40.609873300","153.37.235.4","172.20.10.8","ICMP","126","50 dBm","","","Echo (ping) reply    id=0x0001, seq=335/20225, ttl=51 (request in 92)"
"95","41.315829500","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","48 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"97","41.610535900","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=336/20481, ttl=51 (request in 96)"
"99","42.631380300","153.37.235.4","172.20.10.8","ICMP","126","46 dBm","","","Echo (ping) reply    id=0x0001, seq=337/20737, ttl=51 (request in 98)"
"101","43.638949700","153.37.235.4","172.20.10.8","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=338/20993, ttl=51 (request in 100)"
"103","44.650742700","153.37.235.4","172.20.10.8","ICMP","126","53 dBm","","","Echo (ping) reply    id=0x0001, seq=339/21249, ttl=51 (request in 102)"
"105","45.670833100","153.37.235.4","172.20.10.8","ICMP","126","47 dBm","","","Echo (ping) reply    id=0x0001, seq=340/21505, ttl=51 (request in 104)"
"107","46.689669300","153.37.235.4","172.20.10.8","ICMP","126","46 dBm","","","Echo (ping) reply    id=0x0001, seq=341/21761, ttl=51 (request in 106)"
