"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.028624600","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=435/45825, ttl=51 (request in 3)"
"6","1.062970700","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=51 (request in 5)"
"8","2.063987100","153.37.235.4","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=437/46337, ttl=51 (request in 7)"
"10","3.093446200","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=438/46593, ttl=51 (request in 9)"
"12","4.102460700","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=439/46849, ttl=51 (request in 11)"
"14","5.112315300","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=440/47105, ttl=51 (request in 13)"
"16","5.340657800","40.119.211.203","172.20.10.8","TLSv1.2","280","38 dBm","","","Application Data"
"19","6.143837800","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=441/47361, ttl=51 (request in 18)"
"21","7.152497500","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=442/47617, ttl=51 (request in 20)"
"23","8.182400700","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=443/47873, ttl=51 (request in 22)"
"25","9.182887600","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=444/48129, ttl=51 (request in 24)"
"27","9.744593500","40.119.211.203","172.20.10.8","TLSv1.2","277","37 dBm","","","Application Data"
"30","10.206883100","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=445/48385, ttl=51 (request in 29)"
"32","11.232006900","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=446/48641, ttl=51 (request in 31)"
"34","12.224960000","153.37.235.4","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=447/48897, ttl=51 (request in 33)"
"36","13.231010900","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=448/49153, ttl=51 (request in 35)"
"38","14.234301200","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=449/49409, ttl=51 (request in 37)"
"40","15.264032300","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=450/49665, ttl=51 (request in 39)"
"42","16.263502500","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=451/49921, ttl=51 (request in 41)"
"44","17.273358100","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=452/50177, ttl=51 (request in 43)"
"46","18.302337200","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=453/50433, ttl=51 (request in 45)"
"48","19.314307200","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=454/50689, ttl=51 (request in 47)"
"50","20.343587300","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=455/50945, ttl=51 (request in 49)"
"52","21.344006800","153.37.235.4","172.20.10.8","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=456/51201, ttl=51 (request in 51)"
"54","22.349094700","153.37.235.4","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=457/51457, ttl=51 (request in 53)"
"56","23.386791200","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=458/51713, ttl=51 (request in 55)"
"58","24.393434400","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=459/51969, ttl=51 (request in 57)"
"60","25.407002400","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=460/52225, ttl=51 (request in 59)"
"62","26.424528300","153.37.235.4","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=461/52481, ttl=51 (request in 61)"
"64","27.429104100","153.37.235.4","172.20.10.8","ICMP","126","41 dBm","","","Echo (ping) reply    id=0x0001, seq=462/52737, ttl=51 (request in 63)"
"66","28.447283000","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=463/52993, ttl=51 (request in 65)"
"68","29.463594600","153.37.235.4","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=464/53249, ttl=51 (request in 67)"
"70","30.348151400","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","35 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"72","30.463340400","153.37.235.4","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=465/53505, ttl=51 (request in 71)"
"74","31.474095300","153.37.235.4","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=466/53761, ttl=51 (request in 73)"
