"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.028785200","153.37.235.5","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1087/16132, ttl=51 (request in 3)"
"6","1.034873200","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1088/16388, ttl=51 (request in 5)"
"8","2.048902300","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1089/16644, ttl=51 (request in 7)"
"10","2.940806400","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","25 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"12","3.064452300","153.37.235.5","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1090/16900, ttl=51 (request in 11)"
"14","4.074351200","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1091/17156, ttl=51 (request in 13)"
"16","5.104958800","153.37.235.5","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1092/17412, ttl=51 (request in 15)"
"18","6.113267500","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1093/17668, ttl=51 (request in 17)"
"20","7.129030100","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1094/17924, ttl=51 (request in 19)"
"22","8.147028700","153.37.235.5","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1095/18180, ttl=51 (request in 21)"
"24","9.149030700","153.37.235.5","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1096/18436, ttl=51 (request in 23)"
"26","10.190380700","153.37.235.5","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1097/18692, ttl=51 (request in 25)"
"28","11.195873900","153.37.235.5","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1098/18948, ttl=51 (request in 27)"
"30","12.212878200","153.37.235.5","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1099/19204, ttl=51 (request in 29)"
"32","13.231312900","153.37.235.5","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1100/19460, ttl=51 (request in 31)"
