"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.029057400","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1523/62213, ttl=51 (request in 3)"
"6","1.047699000","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1524/62469, ttl=51 (request in 5)"
"8","2.057648700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1525/62725, ttl=51 (request in 7)"
"10","3.068251300","153.37.235.4","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=1526/62981, ttl=51 (request in 9)"
"12","4.089519700","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1527/63237, ttl=51 (request in 11)"
"14","5.116249100","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=1528/63493, ttl=51 (request in 13)"
"16","6.116324000","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=1529/63749, ttl=51 (request in 15)"
"19","7.121848900","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1530/64005, ttl=51 (request in 18)"
"21","8.144293300","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1531/64261, ttl=51 (request in 20)"
"23","9.153227200","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1532/64517, ttl=51 (request in 22)"
"26","10.184975600","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1533/64773, ttl=51 (request in 24)"
"27","10.202565300","172.20.10.1","172.20.10.8","DNS","193","27 dBm","","","Standard query response 0x9c6e A client.wns.windows.com CNAME wns.notify.trafficmanager.net A 52.139.250.253"
