"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.036635400","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=947/45827, ttl=51 (request in 3)"
"6","1.053940800","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=948/46083, ttl=51 (request in 5)"
"8","2.054115100","153.37.235.4","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=949/46339, ttl=51 (request in 7)"
"11","7.636941300","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=951/46851, ttl=51 (request in 10)"
"13","8.614879800","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=952/47107, ttl=51 (request in 12)"
"16","9.620364300","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=953/47363, ttl=51 (request in 15)"
"17","9.641360800","40.119.211.203","172.20.10.8","TLSv1.2","280","27 dBm","","","Application Data"
"20","10.631973200","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=954/47619, ttl=51 (request in 19)"
"22","11.643094200","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=955/47875, ttl=51 (request in 21)"
"24","12.559787900","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","27 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"26","12.660350900","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=956/48131, ttl=51 (request in 25)"
"28","13.670209200","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=957/48387, ttl=51 (request in 27)"
"30","14.700573900","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=958/48643, ttl=51 (request in 29)"
"32","15.700134700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=959/48899, ttl=51 (request in 31)"
"34","16.710065800","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=960/49155, ttl=51 (request in 33)"
"36","17.739821300","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=961/49411, ttl=51 (request in 35)"
"38","18.745691500","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=962/49667, ttl=51 (request in 37)"
"40","19.763232700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=963/49923, ttl=51 (request in 39)"
"42","20.780322000","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=964/50179, ttl=51 (request in 41)"
"44","21.780374800","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=965/50435, ttl=51 (request in 43)"
"46","22.786160000","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=966/50691, ttl=51 (request in 45)"
"48","23.802261800","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=967/50947, ttl=51 (request in 47)"
"50","24.821095300","153.37.235.4","172.20.10.8","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=968/51203, ttl=51 (request in 49)"
"52","25.842939500","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=969/51459, ttl=51 (request in 51)"
"54","26.860481700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=970/51715, ttl=51 (request in 53)"
"56","27.865707000","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=971/51971, ttl=51 (request in 55)"
"58","28.900529900","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=972/52227, ttl=51 (request in 57)"
"60","29.905693300","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=973/52483, ttl=51 (request in 59)"
"62","30.922997600","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=974/52739, ttl=51 (request in 61)"
"64","31.941081000","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=975/52995, ttl=51 (request in 63)"
"66","32.963344100","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=976/53251, ttl=51 (request in 65)"
"68","33.570670000","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","27 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"70","33.980300300","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=977/53507, ttl=51 (request in 69)"
"72","35.002705600","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=978/53763, ttl=51 (request in 71)"
"74","36.021007300","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=979/54019, ttl=51 (request in 73)"
"76","37.020741500","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=980/54275, ttl=51 (request in 75)"
"78","38.042816400","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=981/54531, ttl=51 (request in 77)"
"80","39.059142700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=982/54787, ttl=51 (request in 79)"
"82","40.084316100","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=983/55043, ttl=51 (request in 81)"
"84","41.100935100","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=984/55299, ttl=51 (request in 83)"
"86","42.102138700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=985/55555, ttl=51 (request in 85)"
"88","43.123774600","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=986/55811, ttl=51 (request in 87)"
"90","44.140542800","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=987/56067, ttl=51 (request in 89)"
"92","45.141649200","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=988/56323, ttl=51 (request in 91)"
"94","46.164465600","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=989/56579, ttl=51 (request in 93)"
"96","47.180882900","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=990/56835, ttl=51 (request in 95)"
"98","48.180922200","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=991/57091, ttl=51 (request in 97)"
"100","49.190537400","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=992/57347, ttl=51 (request in 99)"
"102","50.203700000","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=993/57603, ttl=51 (request in 101)"
"104","51.271211700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=994/57859, ttl=51 (request in 103)"
"106","52.226152500","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=995/58115, ttl=51 (request in 105)"
"108","53.261012400","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=996/58371, ttl=51 (request in 107)"
"110","54.268608800","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=997/58627, ttl=51 (request in 109)"
"112","54.766347100","40.119.211.203","172.20.10.8","TLSv1.2","280","27 dBm","","","Application Data"
"115","55.059049300","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","27 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"117","55.265511800","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=998/58883, ttl=51 (request in 116)"
"119","56.284575900","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=999/59139, ttl=51 (request in 118)"
"121","57.308721700","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1000/59395, ttl=51 (request in 120)"
"123","58.322555200","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1001/59651, ttl=51 (request in 122)"
"125","59.341909400","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=1002/59907, ttl=51 (request in 124)"
"127","60.341120100","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1003/60163, ttl=51 (request in 126)"
"129","61.350855100","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1004/60419, ttl=51 (request in 128)"
"131","62.381086500","153.37.235.4","172.20.10.8","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=1005/60675, ttl=51 (request in 130)"
"133","63.385661900","153.37.235.4","172.20.10.8","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=1006/60931, ttl=51 (request in 132)"
"135","64.403734700","153.37.235.4","172.20.10.8","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=1007/61187, ttl=51 (request in 134)"
"137","65.428898300","153.37.235.4","172.20.10.8","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=1008/61443, ttl=51 (request in 136)"
"139","66.425757200","153.37.235.4","172.20.10.8","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=1009/61699, ttl=51 (request in 138)"
