"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.030698700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1402/31237, ttl=51 (request in 3)"
"6","1.054044000","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1403/31493, ttl=51 (request in 5)"
"8","1.946749600","40.119.211.203","172.20.10.8","TLSv1.2","280","23 dBm","","","Application Data"
"11","2.070954600","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1404/31749, ttl=51 (request in 10)"
"13","3.076124100","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1405/32005, ttl=51 (request in 12)"
"15","3.790085500","52.109.12.20","172.20.10.8","TCP","106","24 dBm","","","443  >  49845 [FIN, ACK] Seq=1 Ack=2 Win=510 Len=0"
"18","4.093073300","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1406/32261, ttl=51 (request in 17)"
"20","5.112556800","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1407/32517, ttl=51 (request in 19)"
"22","6.116219100","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1408/32773, ttl=51 (request in 21)"
"24","7.134142100","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1409/33029, ttl=51 (request in 23)"
"26","8.155914500","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1410/33285, ttl=51 (request in 25)"
"28","8.696373100","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","23 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"30","9.174075700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1411/33541, ttl=51 (request in 29)"
"32","10.196274900","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1412/33797, ttl=51 (request in 31)"
"34","11.218474000","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1413/34053, ttl=51 (request in 33)"
"36","12.236959800","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1414/34309, ttl=51 (request in 35)"
"38","13.246537000","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1415/34565, ttl=51 (request in 37)"
"40","14.259608300","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1416/34821, ttl=51 (request in 39)"
"42","15.276684700","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1417/35077, ttl=51 (request in 41)"
"44","16.277249100","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1418/35333, ttl=51 (request in 43)"
"46","17.299645400","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1419/35589, ttl=51 (request in 45)"
"48","18.298541400","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1420/35845, ttl=51 (request in 47)"
"50","19.317999600","153.37.235.4","172.20.10.8","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=1421/36101, ttl=51 (request in 49)"
"52","20.340254900","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1422/36357, ttl=51 (request in 51)"
"54","21.356919200","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1423/36613, ttl=51 (request in 53)"
"56","22.356988700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1424/36869, ttl=51 (request in 55)"
"58","23.379003700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1425/37125, ttl=51 (request in 57)"
"60","24.417869900","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1426/37381, ttl=51 (request in 59)"
"62","25.466346500","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1427/37637, ttl=51 (request in 61)"
"64","26.436434600","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1428/37893, ttl=51 (request in 63)"
"66","27.442144400","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1429/38149, ttl=51 (request in 65)"
"68","28.476503700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1430/38405, ttl=51 (request in 67)"
"70","29.480960000","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1431/38661, ttl=51 (request in 69)"
"72","30.200848700","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","25 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"74","30.498614400","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1432/38917, ttl=51 (request in 73)"
"76","31.517084900","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1433/39173, ttl=51 (request in 75)"
"78","32.522157300","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1434/39429, ttl=51 (request in 77)"
"80","33.538938100","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1435/39685, ttl=51 (request in 79)"
"82","34.556836300","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1436/39941, ttl=51 (request in 81)"
"84","35.577810400","153.37.235.4","172.20.10.8","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=1437/40197, ttl=51 (request in 83)"
"86","36.580067500","153.37.235.4","172.20.10.8","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=1438/40453, ttl=51 (request in 85)"
"88","37.596568000","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1439/40709, ttl=51 (request in 87)"
"90","38.596664900","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1440/40965, ttl=51 (request in 89)"
"92","39.602212900","153.37.235.4","172.20.10.8","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=1441/41221, ttl=51 (request in 91)"
"94","40.636704400","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1442/41477, ttl=51 (request in 93)"
"96","41.647271600","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1443/41733, ttl=51 (request in 95)"
"98","42.677263900","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1444/41989, ttl=51 (request in 97)"
"100","43.659196900","49.4.36.99","172.20.10.8","TCP","106","23 dBm","","","5223  >  49843 [FIN, ACK] Seq=1 Ack=1 Win=29200 Len=0"
"104","43.677151700","153.37.235.4","172.20.10.8","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=1445/42245, ttl=51 (request in 99)"
"105","43.698537200","172.20.10.1","172.20.10.8","DNS","168","23 dBm","","","Standard query response 0x3ee8 A pushtrs.push.hicloud.com A 49.4.39.161 A 49.4.20.145"
"106","43.708218400","49.4.36.99","172.20.10.8","TCP","106","23 dBm","","","5223  >  49843 [ACK] Seq=2 Ack=2 Win=29200 Len=0"
"108","43.777902900","49.4.39.161","172.20.10.8","TCP","118","23 dBm","","","443  >  49846 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=512"
"111","43.869523800","49.4.39.161","172.20.10.8","TCP","106","23 dBm","","","443  >  49846 [ACK] Seq=1 Ack=518 Win=30720 Len=0"
"112","43.871693300","49.4.39.161","172.20.10.8","TLSv1.2","1506","23 dBm","","","Server Hello"
"113","43.871693300","49.4.39.161","172.20.10.8","TCP","1506","23 dBm","","","443  >  49846 [ACK] Seq=1401 Ack=518 Win=30720 Len=1400 [TCP segment of a reassembled PDU]"
"114","43.871693300","49.4.39.161","172.20.10.8","TLSv1.2","662","23 dBm","","","Certificate, Server Key Exchange, Server Hello Done"
"117","43.939938500","49.4.39.161","172.20.10.8","TLSv1.2","157","23 dBm","","","Change Cipher Spec, Encrypted Handshake Message"
"119","43.997500000","49.4.39.161","172.20.10.8","TCP","1506","23 dBm","","","443  >  49846 [ACK] Seq=3408 Ack=1036 Win=31744 Len=1400 [TCP segment of a reassembled PDU]"
"120","43.997500000","49.4.39.161","172.20.10.8","TCP","1506","23 dBm","","","443  >  49846 [ACK] Seq=4808 Ack=1036 Win=31744 Len=1400 [TCP segment of a reassembled PDU]"
"122","44.006284700","49.4.39.161","172.20.10.8","TLSv1.2","1114","23 dBm","","","Application Data"
"126","44.059397700","49.4.39.161","172.20.10.8","TCP","118","23 dBm","","","[TCP Dup ACK 119#1] 443  >  49846 [ACK] Seq=7216 Ack=1036 Win=31744 Len=0 SLE=1067 SRE=1068"
"127","44.059397700","49.4.39.161","172.20.10.8","TCP","106","23 dBm","","","443  >  49846 [ACK] Seq=7216 Ack=1068 Win=31744 Len=0"
"128","44.059397700","49.4.39.161","172.20.10.8","TCP","106","23 dBm","","","443  >  49846 [FIN, ACK] Seq=7216 Ack=1068 Win=31744 Len=0"
"130","44.061112800","49.4.36.99","172.20.10.8","TCP","110","23 dBm","","","5223  >  49847 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"133","44.111548000","49.4.36.99","172.20.10.8","TCP","106","23 dBm","","","5223  >  49847 [ACK] Seq=1 Ack=133 Win=29200 Len=0"
