"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"759","73.062143","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2849, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"760","73.164547","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2850, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"761","73.266939","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2851, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"762","73.369402","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2852, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"763","73.471755","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2853, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"764","73.574227","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2854, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"765","73.676549","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2855, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"766","73.778944","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2856, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"767","73.881345","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2857, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"768","73.983870","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2858, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"769","74.086183","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2859, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"770","74.188586","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2860, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"771","74.290977","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2861, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"772","74.393210","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2862, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"773","74.495761","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2863, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"774","74.598153","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2864, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"775","74.700576","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2865, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"776","74.802957","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2866, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"777","74.905328","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2867, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"778","75.007743","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2868, FN=0, Flags=........C, BI=100, SSID=Z5241154"
