"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"32","3.174976","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4066, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"33","3.277007","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4067, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"34","3.379425","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4068, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"35","3.481829","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4069, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"36","3.584209","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4070, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"37","3.686616","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4071, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"38","3.789009","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4072, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"39","3.891404","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4073, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"40","3.993850","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4074, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"41","4.096226","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4075, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"42","4.198977","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4076, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"43","4.301027","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4077, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"44","4.403428","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4078, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"45","4.505811","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4079, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"46","4.608229","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4080, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"47","4.710608","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4081, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"48","4.813020","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4082, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"49","4.915434","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4083, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"50","5.017822","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4084, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"51","5.120232","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4085, FN=0, Flags=........C, BI=100, SSID=Z5241154"
